Time (Hour),"Y(A1,A2)","SD(A1,A2)","Y(B1,B2)","SD(B1,B2)","Y(C1,C2)","SD(C1,C2)","Y(D1,D2)","SD(D1,D2)","Y(E1,E2)","SD(E1,E2)","Y(F1,F2)","SD(F1,F2)","Y(G1,G2)","SD(G1,G2)","Y(H1,H2)","SD(H1,H2)","Y(A3,A4)","SD(A3,A4)","Y(B3,B4)","SD(B3,B4)","Y(C3,C4)","SD(C3,C4)","Y(D3,D4)","SD(D3,D4)","Y(E3,E4)","SD(E3,E4)","Y(F3,F4)","SD(F3,F4)","Y(G3,G4)","SD(G3,G4)","Y(H3,H4)","SD(H3,H4)","Y(A5,A6)","SD(A5,A6)","Y(B5,B6)","SD(B5,B6)","Y(C5,C6)","SD(C5,C6)","Y(D5,D6)","SD(D5,D6)","Y(E5,E6)","SD(E5,E6)","Y(F5,F6)","SD(F5,F6)","Y(G5,G6)","SD(G5,G6)","Y(H5,H6)","SD(H5,H6)","Y(A7,A8)","SD(A7,A8)","Y(B7,B8)","SD(B7,B8)","Y(C7,C8)","SD(C7,C8)","Y(D7,D8)","SD(D7,D8)","Y(E7,E8)","SD(E7,E8)","Y(F7,F8)","SD(F7,F8)","Y(G7,G8)","SD(G7,G8)","Y(H7,H8)","SD(H7,H8)","Y(A9,A10)","SD(A9,A10)","Y(B9,B10)","SD(B9,B10)","Y(C9,C10)","SD(C9,C10)","Y(D9,D10)","SD(D9,D10)","Y(E9,E10)","SD(E9,E10)","Y(F9,F10)","SD(F9,F10)","Y(G9,G10)","SD(G9,G10)","Y(H9,H10)","SD(H9,H10)","Y(A11,A12)","SD(A11,A12)","Y(B11,B12)","SD(B11,B12)","Y(C11,C12)","SD(C11,C12)","Y(D11,D12)","SD(D11,D12)","Y(E11,E12)","SD(E11,E12)","Y(F11,F12)","SD(F11,F12)","Y(G11,G12)","SD(G11,G12)","Y(H11,H12)","SD(H11,H12)"
3.039444,0.33515,0.004454773,0.3981,0.020364675,0.38165,0.009687363,0.3784,0.016263456,0.8912,0.010889444,0.86715,0.024395184,0.86955,0.039951533,0.90755,0.116177644,0.3593,0.009192388,0.3697,0.044971991,0.41475,0.052962298,0.3845,0.007071068,0.91535,0.044477017,0.9087,0.018243355,0.9126,0.012162237,0.96035,0.026516504,0.4013,0.004666905,0.3701,0.012020815,0.36735,0.014354268,0.404,0.019233304,0.92775,0.01873833,0.9056,0.037193817,0.9279,0.038890873,0.9987,0.11780399,0.36775,0.012940054,0.3688,0.013010765,0.3737,0.041153615,0.39245,0.009970206,0.92825,0.027930718,0.8865,0.030405592,0.8744,0.023758788,0.8731,0.048790368,0.37755,0.022698128,0.37465,0.021991021,0.36615,0.00629325,0.3753,0.029698485,0.96115,0.008980256,0.91945,0.037123106,0.85075,0.023405234,1.15835,0.048719657,0.40125,0.011667262,0.36855,0.019728279,0.37825,0.005727565,0.3819,0.031961227,0.89535,0.042921382,0.86855,0.027365032,0.84435,0.019728279,1.08505,0.04376991
3.289722,0.3544,0.011737973,0.4181,0.02192031,0.39595,0.016758431,0.39965,0.030900566,0.95805,0.017465537,0.9321,0.022344574,0.93925,0.044477017,0.98245,0.121551656,0.37575,0.00940452,0.38925,0.045608387,0.4278,0.049638896,0.40735,0.006010408,0.9829,0.042992092,0.9781,0.027011479,0.98445,0.016334167,1.02685,0.026799347,0.4235,0.00523259,0.38645,0.014919953,0.3867,0.019940411,0.425,0.021213203,1.0003,0.019233304,0.97225,0.041648589,1.00015,0.040800061,1.07255,0.121410234,0.3848,0.014424978,0.38905,0.014778532,0.39425,0.041790011,0.41415,0.008131728,0.99985,0.033870415,0.95205,0.031183409,0.9407,0.027435743,0.93485,0.044618438,0.39745,0.027365032,0.3937,0.023758788,0.39,0.009616652,0.39845,0.030759145,1.0228,0.012303658,0.98975,0.040517219,0.9125,0.028567114,1.22615,0.046456916,0.41835,0.008131728,0.3823,0.00834386,0.39425,0.01251579,0.40225,0.040941483,0.9568,0.044971991,0.9338,0.02602153,0.90145,0.014919953,1.1514,0.041577879
3.54,0.3661,0.009475231,0.43405,0.01873833,0.4044,0.020788939,0.4082,0.026445794,1.0144,0.016404877,0.9945,0.019657569,1.01045,0.049143921,1.0467,0.126713535,0.3875,0.007495332,0.40315,0.047164022,0.44005,0.047729708,0.41835,0.007707464,1.0483,0.040729351,1.0425,0.02602153,1.05465,0.01463711,1.0906,0.018950462,0.44405,0.001484924,0.4048,0.011737973,0.40615,0.018314066,0.43725,0.022556706,1.0702,0.016970563,1.0373,0.049638896,1.0706,0.039880822,1.1408,0.121480945,0.39855,0.014354268,0.4059,0.021778889,0.40755,0.043062803,0.4277,0.00523259,1.06045,0.043204224,1.01965,0.028920667,1.00515,0.030334881,0.99295,0.04376991,0.4134,0.025173001,0.4062,0.029132799,0.40385,0.010818734,0.41175,0.028779246,1.08425,0.01350574,1.05845,0.034718943,0.9754,0.025173001,1.29085,0.051830927,0.4343,0.004666905,0.3924,0.000282843,0.4066,0.019940411,0.41605,0.039810112,1.0178,0.044264885,0.99465,0.02609224,0.95715,0.010818734,1.2198,0.03860803
3.789722,0.3731,0.014000714,0.44425,0.012657211,0.41045,0.017324116,0.4072,0.024748737,1.07425,0.017041273,1.05285,0.012657211,1.0683,0.055437172,1.11405,0.129895516,0.39795,0.010677312,0.422,0.048648947,0.4484,0.046386205,0.4277,0.010323759,1.09915,0.039810112,1.10155,0.025385133,1.11255,0.025385133,1.14825,0.013364318,0.45655,0.000777817,0.4092,0.02192031,0.4218,0.018950462,0.45055,0.022839549,1.1294,0.019940411,1.09135,0.062013265,1.1347,0.046386205,1.1995,0.131097597,0.4115,0.014283557,0.4186,0.020647518,0.4177,0.042143564,0.438,0.006646804,1.12085,0.048295393,1.07645,0.028779246,1.0691,0.036769553,1.0491,0.03959798,0.42665,0.024819448,0.4226,0.03026417,0.41465,0.011384419,0.4279,0.0271529,1.138,0.015273506,1.11965,0.031890516,1.03165,0.024112341,1.34545,0.05211377,0.44275,0.008414571,0.40335,0.000919239,0.4178,0.01979899,0.42225,0.045042702,1.0714,0.042002143,1.0496,0.032244069,1.0101,0.005515433,1.2815,0.044406306
4.039722,0.3812,0.014142136,0.45365,0.014919953,0.4165,0.012020815,0.41385,0.025950819,1.11985,0.010535891,1.1026,0.012445079,1.12755,0.053103719,1.17195,0.128622723,0.4068,0.012445079,0.43485,0.054942197,0.4592,0.040587929,0.4379,0.006505382,1.15125,0.038820162,1.1523,0.031678384,1.16865,0.022556706,1.2002,0.0145664,0.4676,0.007212489,0.4188,0.020081833,0.429,0.018667619,0.46045,0.021001071,1.18315,0.017889802,1.1467,0.067599408,1.18905,0.045749809,1.2552,0.138168665,0.42045,0.012940054,0.4315,0.022061732,0.42805,0.043345646,0.4477,0.008202439,1.17375,0.050982399,1.135,0.031112698,1.12675,0.041648589,1.09695,0.042921382,0.43965,0.022839549,0.43395,0.023546656,0.4258,0.014424978,0.44095,0.032173359,1.19705,0.022132442,1.17565,0.033870415,1.08715,0.017606959,1.39725,0.056922096,0.4475,0.005798276,0.4094,0.003252691,0.42345,0.021425335,0.43175,0.049143921,1.1246,0.046103362,1.10195,0.030617724,1.0547,0.005374012,1.33015,0.052255191
4.289722,0.389,0.011313708,0.4596,0.011737973,0.4263,0.016404877,0.42205,0.021425335,1.16725,0.012657211,1.14665,0.012374369,1.1821,0.064912403,1.23115,0.129895516,0.42055,0.010677312,0.44115,0.048578236,0.4725,0.039456558,0.44645,0.00629325,1.1967,0.042143564,1.20505,0.029769195,1.2171,0.032244069,1.24845,0.012798633,0.4787,0.003535534,0.4286,0.014707821,0.44105,0.020152543,0.47335,0.025809398,1.2323,0.015697771,1.1944,0.065195245,1.24115,0.046598337,1.30475,0.153088618,0.43385,0.008273149,0.44465,0.014495689,0.4392,0.039315137,0.4581,0.012162237,1.22455,0.053952247,1.1946,0.033092597,1.1769,0.053740115,1.1441,0.039880822,0.4536,0.02503158,0.4453,0.020364675,0.43515,0.01463711,0.45445,0.029344931,1.2439,0.034082547,1.23245,0.034718943,1.13615,0.016617009,1.4447,0.069296465,0.45285,0.01039447,0.4206,0.00523259,0.4323,0.020788939,0.4375,0.047517576,1.16815,0.049143921,1.14965,0.028496403,1.10175,0.000353553,1.37755,0.063993164
4.54,0.39535,0.010535891,0.4738,0.002969848,0.4362,0.020647518,0.43085,0.018455487,1.209,0.010748023,1.1877,0.005798276,1.22175,0.057063517,1.266,0.13449171,0.42635,0.013647161,0.45885,0.049426764,0.489,0.038325188,0.4613,0.003959798,1.24675,0.040517219,1.2504,0.02814285,1.26115,0.030052038,1.2853,0.004808326,0.4833,0.001414214,0.4427,0.01046518,0.45055,0.014919953,0.48325,0.025809398,1.27735,0.011242998,1.23795,0.076721086,1.2914,0.063073925,1.3397,0.154856385,0.4392,0.015273506,0.4549,0.009192388,0.45475,0.040375797,0.47445,0.006717514,1.2698,0.051335952,1.23975,0.039244426,1.21795,0.061871843,1.17485,0.034294679,0.4611,0.026728636,0.46335,0.014354268,0.45295,0.017182695,0.47145,0.034718943,1.28975,0.037264527,1.28185,0.028637825,1.17365,0.024960869,1.48415,0.077993878,0.46335,0.015909903,0.4318,0.014142136,0.44415,0.020718229,0.4509,0.050204581,1.21135,0.050275292,1.1894,0.03337544,1.1432,0.002969848,1.41015,0.067670119
4.790278,0.39885,0.009687363,0.47525,0.004030509,0.43885,0.022698128,0.43525,0.019162594,1.2294,0.000424264,1.2137,0.003818377,1.24915,0.047022601,1.29485,0.122117341,0.43015,0.016475588,0.4656,0.048931789,0.49835,0.043487067,0.4717,0.004384062,1.27945,0.04277996,1.2836,0.037335238,1.28635,0.024960869,1.3174,0.011879394,0.4832,0.000141421,0.44925,0.010535891,0.4607,0.015839192,0.4945,0.027577164,1.3096,0.007071068,1.2756,0.074953319,1.32125,0.071347074,1.37135,0.159876843,0.44315,0.011242998,0.45945,0.011525841,0.46745,0.041931432,0.4886,0.01046518,1.30145,0.048861079,1.2791,0.040305087,1.24515,0.069084333,1.1986,0.037193817,0.4659,0.02291026,0.46975,0.012232947,0.4643,0.018667619,0.48085,0.033870415,1.3219,0.02814285,1.31705,0.031607673,1.199,0.021071782,1.51845,0.083085047,0.4611,0.007778175,0.4363,0.012162237,0.44945,0.023829499,0.45535,0.049285343,1.23955,0.054800776,1.21935,0.041648589,1.1691,0.005091169,1.43575,0.074599765
5.040556,0.40515,0.013930004,0.4841,0.013859293,0.4453,0.013152186,0.4415,0.026162951,1.25535,0.004596194,1.2373,0.000848528,1.2762,0.054447222,1.3305,0.131097597,0.4468,0.013293607,0.4689,0.045679098,0.49845,0.040800061,0.4711,0.000989949,1.2984,0.046810469,1.3092,0.036910974,1.3123,0.018667619,1.3492,0.005939697,0.5032,0.001979899,0.45195,0.011667262,0.4632,0.018101934,0.5031,0.033092597,1.33275,0.012091526,1.29695,0.077286771,1.35125,0.069367175,1.40085,0.159594001,0.4599,0.007212489,0.46425,0.011525841,0.4673,0.043274935,0.4929,0.010323759,1.32925,0.052820877,1.30105,0.041507168,1.2688,0.07297342,1.2191,0.030688434,0.4833,0.029557063,0.47485,0.0072832,0.46385,0.021283914,0.49115,0.024395184,1.35265,0.028213561,1.3386,0.031961227,1.2268,0.026304372,1.54445,0.087893373,0.4766,0.003959798,0.4468,0.00212132,0.4622,0.031819805,0.46245,0.050558135,1.2626,0.049638896,1.2438,0.037618081,1.1944,0.000282843,1.46205,0.070357125
5.290833,0.419,0.0145664,0.4961,0.009192388,0.4557,0.015839192,0.45155,0.01873833,1.28065,0.008273149,1.2596,0.004808326,1.2982,0.055437172,1.3498,0.13760298,0.45505,0.006858936,0.4804,0.045537677,0.5146,0.038749452,0.4855,0.002545584,1.3263,0.049073211,1.32945,0.045325545,1.33485,0.024395184,1.3675,0.014000714,0.51535,0.008273149,0.4638,0.015132085,0.4751,0.016829141,0.513,0.035072496,1.36125,0.011808683,1.32115,0.070215703,1.375,0.069296465,1.4204,0.159099026,0.46465,0.022415285,0.48175,0.006576093,0.4771,0.039880822,0.50865,0.009828784,1.3533,0.055720014,1.32865,0.053810826,1.28945,0.079690934,1.23075,0.025243712,0.49495,0.024960869,0.48625,0.004313351,0.48005,0.020152543,0.5028,0.027718586,1.37425,0.025243712,1.35905,0.035567471,1.25055,0.028072139,1.5606,0.09178246,0.4902,0.006363961,0.45545,0.003889087,0.47565,0.036981685,0.47725,0.052820877,1.28615,0.051830927,1.26945,0.036415999,1.2141,0.000282843,1.47735,0.071205653
5.540833,0.43115,0.01463711,0.50815,0.008697413,0.46485,0.017324116,0.46295,0.019162594,1.2943,0.00933381,1.2779,0.001979899,1.3201,0.049921739,1.36555,0.143047702,0.46555,0.009263099,0.49105,0.039527269,0.5283,0.035072496,0.4964,0.01046518,1.34855,0.040375797,1.35015,0.049568185,1.34475,0.028072139,1.383,0.01357645,0.52915,0.009970206,0.4748,0.016122035,0.48985,0.015061374,0.52615,0.039103005,1.3727,0.007212489,1.34235,0.074741187,1.392,0.074953319,1.42995,0.155917045,0.4759,0.021213203,0.49445,0.003747666,0.48785,0.041224325,0.5276,0.012445079,1.3667,0.045961941,1.3484,0.056992807,1.303,0.081175858,1.23475,0.019728279,0.51295,0.022556706,0.4983,0.010748023,0.49275,0.023122392,0.51765,0.028637825,1.3976,0.025597265,1.3746,0.029415642,1.25625,0.035143207,1.5681,0.084852814,0.5025,0.003252691,0.468,0.003394113,0.48665,0.037405949,0.489,0.056709964,1.29405,0.049285343,1.29295,0.042638539,1.22995,0.007990307,1.48255,0.080680884
5.791111,0.44485,0.011808683,0.51735,0.009121677,0.4809,0.018526198,0.474,0.017819091,1.3015,0.017111984,1.2903,0.004808326,1.3305,0.038325188,1.38085,0.147997449,0.4733,0.006788225,0.4986,0.038890873,0.5387,0.033092597,0.50875,0.005586144,1.3583,0.038325188,1.3668,0.04384062,1.36055,0.024395184,1.3921,0.008768124,0.5413,0.010323759,0.4881,0.01145513,0.50305,0.01350574,0.53825,0.037405949,1.38595,0.008980256,1.3559,0.082731493,1.39815,0.074882608,1.43685,0.149835927,0.4887,0.018101934,0.5042,0.00311127,0.5033,0.037900923,0.5419,0.0145664,1.37595,0.041648589,1.3652,0.059114127,1.30445,0.08237794,1.2437,0.015839192,0.5255,0.020223254,0.5107,0.017111984,0.50755,0.027506454,0.53255,0.028779246,1.405,0.033234019,1.3828,0.024465895,1.2665,0.045396255,1.58445,0.089873272,0.51845,0.005444722,0.479,0.001979899,0.50225,0.039244426,0.5017,0.057841335,1.2997,0.043133514,1.3024,0.049073211,1.2352,0.005939697,1.4937,0.085135656
6.041111,0.45785,0.01251579,0.52565,0.009121677,0.4932,0.020364675,0.48305,0.016899852,1.31015,0.017041273,1.2967,0.009758074,1.33435,0.035143207,1.3814,0.150613744,0.4848,0.006081118,0.50965,0.039244426,0.5461,0.029557063,0.52065,0.002333452,1.3702,0.034931075,1.37105,0.045466966,1.3649,0.013293607,1.3958,0.015273506,0.55455,0.008555992,0.4972,0.011172287,0.5112,0.015414928,0.5554,0.041153615,1.39145,0.011101576,1.35875,0.090438957,1.4019,0.078913117,1.4376,0.142128463,0.4992,0.020930361,0.51585,0.002474874,0.5151,0.040305087,0.5571,0.012020815,1.3807,0.036910974,1.37035,0.055366461,1.3122,0.084852814,1.2479,0.016263456,0.5374,0.016546299,0.5228,0.01046518,0.5149,0.02814285,0.54485,0.026799347,1.40185,0.029344931,1.38525,0.019728279,1.2738,0.045254834,1.59185,0.094257334,0.5308,0.001697056,0.489,0.002687006,0.5125,0.039880822,0.5164,0.062366818,1.30885,0.04065864,1.31215,0.048295393,1.24205,0.000212132,1.49895,0.089731851
