Time (Hour),"Y(A1,A2)","SD(A1,A2)","Y(B1,B2)","SD(B1,B2)","Y(C1,C2)","SD(C1,C2)","Y(D1,D2)","SD(D1,D2)","Y(E1,E2)","SD(E1,E2)","Y(F1,F2)","SD(F1,F2)","Y(G1,G2)","SD(G1,G2)","Y(H1,H2)","SD(H1,H2)","Y(A3,A4)","SD(A3,A4)","Y(B3,B4)","SD(B3,B4)","Y(C3,C4)","SD(C3,C4)","Y(D3,D4)","SD(D3,D4)","Y(E3,E4)","SD(E3,E4)","Y(F3,F4)","SD(F3,F4)","Y(G3,G4)","SD(G3,G4)","Y(H3,H4)","SD(H3,H4)","Y(A5,A6)","SD(A5,A6)","Y(B5,B6)","SD(B5,B6)","Y(C5,C6)","SD(C5,C6)","Y(D5,D6)","SD(D5,D6)","Y(E5,E6)","SD(E5,E6)","Y(F5,F6)","SD(F5,F6)","Y(G5,G6)","SD(G5,G6)","Y(H5,H6)","SD(H5,H6)","Y(A7,A8)","SD(A7,A8)","Y(B7,B8)","SD(B7,B8)","Y(C7,C8)","SD(C7,C8)","Y(D7,D8)","SD(D7,D8)","Y(E7,E8)","SD(E7,E8)","Y(F7,F8)","SD(F7,F8)","Y(G7,G8)","SD(G7,G8)","Y(H7,H8)","SD(H7,H8)","Y(A9,A10)","SD(A9,A10)","Y(B9,B10)","SD(B9,B10)","Y(C9,C10)","SD(C9,C10)","Y(D9,D10)","SD(D9,D10)","Y(E9,E10)","SD(E9,E10)","Y(F9,F10)","SD(F9,F10)","Y(G9,G10)","SD(G9,G10)","Y(H9,H10)","SD(H9,H10)","Y(A11,A12)","SD(A11,A12)","Y(B11,B12)","SD(B11,B12)","Y(C11,C12)","SD(C11,C12)","Y(D11,D12)","SD(D11,D12)","Y(E11,E12)","SD(E11,E12)","Y(F11,F12)","SD(F11,F12)","Y(G11,G12)","SD(G11,G12)","Y(H11,H12)","SD(H11,H12)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004722,-0.0039,0.000565685,-0.0004,0.001838478,0.00015,0.000494975,-0.0022,0.000707107,0.0012,0.001272792,0.0008,0.000848528,-0.00165,0.001484924,-0.00265,0.000919239,-0.00235,0.001343503,-0.00105,7.07107E-05,0.0001,0.00311127,0.00045,0.00106066,-5E-05,0.001626346,-0.00015,0.000919239,-0.00185,0.000494975,-0.00135,0.000494975,-0.0026,0.000565685,-0.0019,0.000707107,-0.00025,0.000494975,0.00105,0.000636396,-0.0007,0.000565685,0.0009,0.001697056,-0.0012,0.000848528,-0.00235,0.000636396,-0.0026,0.002404163,-0.00095,0.000777817,-0.00035,0.000212132,-0.003,0.000141421,-0.0005,0.000424264,0,0.000141421,-0.00245,0.000777817,-0.0013,0.001697056,-0.0034,0.001697056,-0.00235,0.001767767,-0.0014,0.000424264,0.001,0.000282843,-0.0014,0.001838478,0.0008,0.000565685,-0.00185,0.003464823,-0.00145,0.001626346,-0.0035,0.000282843,0.0003,0.000565685,-0.0004,0,-0.0011,0.000848528,0.0003,0.000424264,-0.00105,0.000353553,-0.0006,0.000424264,-0.00035,0.001626346
0.254722,-0.0625,0.001838478,-0.0303,0.001979899,-0.0218,0.004242641,-0.01415,0.007000357,-0.00995,0.008980256,-0.0269,0.00834386,-0.0455,0.006646804,-0.06955,0.010111627,-0.0541,0.000282843,-0.0403,0.004525483,-0.02575,0.00205061,-0.0213,0.007919596,-0.01695,0.007424621,-0.02885,0.001767767,-0.0397,0.001131371,-0.0407,0.002828427,-0.05155,0.008697413,-0.04335,7.07107E-05,-0.0281,0.000848528,-0.0185,0.003252691,-0.0216,0.003959798,-0.0179,0.000707107,-0.0337,0.004242641,-0.0357,0.015273506,-0.04855,0.004737615,-0.03585,0.001909188,-0.0291,0.003818377,-0.02875,0.004596194,-0.02125,0.004596194,-0.021,0.001272792,-0.0341,0.000282843,-0.04205,0.014071425,-0.04475,0.002899138,-0.0394,0.001555635,-0.0264,0.000707107,-0.0169,0.004808326,-0.014,0.004242641,-0.0217,0.003394113,-0.034,0.000424264,-0.0125,0.005939697,-0.0366,0.005091169,-0.0286,0.000707107,-0.0183,0.000989949,-0.0104,0.003959798,-0.00495,0.001343503,-0.01575,0.006151829,-0.02505,0.00205061,-0.0174,0.00622254
1.289444,0.09315,0.016475588,0.10135,0.003889087,0.0787,0.014142136,0.06665,0.000636396,0.12915,0.003747666,0.12055,0.011667262,0.1274,0.007778175,0.1653,0.056002857,0.10945,0.003040559,0.09495,0.01562706,0.13955,0.063993164,0.07705,0.006576093,0.13655,0.011101576,0.13555,0.002192031,0.14205,0.005444722,0.19585,0.011101576,0.13485,0.009687363,0.0939,0.006081118,0.08295,0.002333452,0.082,0.006788225,0.1248,0.001131371,0.14295,0.000494975,0.1467,0.010040916,0.2067,0.037052395,0.13585,0.010535891,0.1167,0.000141421,0.10475,0.0072832,0.10305,0.018596908,0.13275,0.008273149,0.1445,0.009899495,0.1502,0.000565685,0.16905,0.029486353,0.1358,0.006081118,0.11535,0.004454773,0.1085,0.004101219,0.0955,0.016546299,0.16065,0.004313351,0.14965,0.0072832,0.14285,0.005586144,0.2545,0.012445079,0.13935,0.002616295,0.114,0.003818377,0.10815,0.002899138,0.0963,0.005091169,0.14485,0.000919239,0.1461,0.010182338,0.1532,0.004808326,0.22425,0.005303301
1.539722,0.0189,0.005798276,0.062,0.002687006,0.06095,0.010960155,0.0645,0.000989949,0.2337,0.016122035,0.20965,0.003889087,0.19785,0.010535891,0.21265,0.057629203,0.0408,0.000707107,0.0524,0.010889444,0.1164,0.059538391,0.0661,0.004525483,0.2527,0.005656854,0.2347,0.000848528,0.2414,0.008485281,0.275,0.020506097,0.0554,0.009758074,0.05385,0.003040559,0.07225,0.001484924,0.0784,0.010748023,0.2686,0.004949747,0.24995,0.01350574,0.24785,0.024395184,0.29675,0.050275292,0.0532,0.007353911,0.06715,0.00516188,0.07705,0.013647161,0.0853,0.012445079,0.24665,0.017182695,0.24445,0.013081475,0.22655,0.002757716,0.23705,0.032739044,0.05555,0.004030509,0.0639,0.000282843,0.07505,0.001767767,0.08095,0.014919953,0.2625,0.003676955,0.2465,0.008626703,0.2126,0.01046518,0.3601,0.01668772,0.0584,0.004242641,0.06475,0.002899138,0.0772,0.004808326,0.07995,0.006010408,0.2383,0.004101219,0.2315,0.010323759,0.22515,0.007990307,0.3256,0.015556349
1.79,0.0623,0.001414214,0.09325,0.0072832,0.0914,0.005798276,0.0924,0.00834386,0.4024,0.017536248,0.3839,0.004525483,0.38435,0.016617009,0.4079,0.076367532,0.073,0.002404163,0.07465,0.013647161,0.13265,0.055790725,0.09025,0.005586144,0.4279,0.011879394,0.40785,0.0072832,0.4186,0.003818377,0.4768,0.019233304,0.089,0.006788225,0.07715,0.003889087,0.09105,0.004313351,0.1023,0.011596551,0.4414,0.004949747,0.4165,0.014707821,0.4284,0.027860007,0.4982,0.07297342,0.0808,0.008909545,0.09105,0.007424621,0.09505,0.01774838,0.1042,0.011879394,0.4242,0.023475945,0.411,0.021213203,0.40145,0.011808683,0.41515,0.040517219,0.0887,0.003676955,0.0843,0.001838478,0.09175,0.000494975,0.09785,0.011384419,0.44285,0.002757716,0.42245,0.012940054,0.3853,0.007919596,0.5935,0.025314423,0.0959,0.004525483,0.08915,0.006717514,0.1014,0.006081118,0.1025,0.000141421,0.41195,0.008131728,0.4097,0.020930361,0.40115,0.007990307,0.5514,0.028991378
2.04,0.1339,0.000141421,0.16565,0.015061374,0.15895,0.003889087,0.15965,0.016334167,0.5515,0.011879394,0.5311,0.003252691,0.5356,0.022344574,0.56265,0.091004643,0.14725,0.005444722,0.1386,0.015273506,0.1883,0.050770267,0.14905,0.002333452,0.57755,0.018596908,0.562,0.013717872,0.56895,0.005868986,0.6338,0.017536248,0.1696,0.002404163,0.1392,0.00523259,0.147,0.005798276,0.1641,0.012869343,0.59105,0.019162594,0.5648,0.026162951,0.58435,0.033446151,0.6584,0.093055252,0.1477,0.006363961,0.15165,0.011384419,0.1524,0.026587215,0.16235,0.009121677,0.58035,0.025809398,0.56195,0.02609224,0.5524,0.014990664,0.5606,0.047658997,0.1604,0.007636753,0.1497,0.008909545,0.147,0.00212132,0.15525,0.014919953,0.6045,0.003676955,0.58415,0.020435386,0.5376,0.016122035,0.77975,0.036415999,0.16995,0.001767767,0.15375,0.007848885,0.16525,0.010253048,0.1623,0.001131371,0.5676,0.015839192,0.55975,0.026657926,0.54565,0.016617009,0.7251,0.036628131
2.290278,0.20975,7.07107E-05,0.24925,0.016192745,0.2441,0.003676955,0.23845,0.02397092,0.65955,0.011525841,0.6398,0.0145664,0.64405,0.024253763,0.6737,0.098712107,0.2295,0.006646804,0.22075,0.022556706,0.26355,0.044759859,0.2262,0.000989949,0.68795,0.027930718,0.67905,0.017182695,0.68235,0.009687363,0.74285,0.012091526,0.2553,0.000565685,0.21715,0.008980256,0.2255,0.010323759,0.24885,0.012798633,0.7011,0.022485996,0.6769,0.029839906,0.6954,0.036062446,0.76995,0.106278149,0.2222,0.008485281,0.2277,0.013717872,0.2269,0.032244069,0.2361,0.012303658,0.69035,0.029344931,0.66795,0.025102291,0.654,0.019091883,0.6587,0.045961941,0.23865,0.01463711,0.22995,0.012657211,0.22015,0.000353553,0.22475,0.020011122,0.71715,0.002474874,0.6949,0.024748737,0.6377,0.017960512,0.9083,0.042850671,0.253,0.003676955,0.2296,0.010606602,0.2415,0.011737973,0.23485,0.008980256,0.676,0.029132799,0.6623,0.029839906,0.64355,0.024819448,0.83955,0.031607673
2.540556,0.27095,0.001767767,0.32155,0.015909903,0.3096,0.000282843,0.3055,0.024607316,0.74295,0.014212846,0.7203,0.019516147,0.72485,0.030476302,0.75875,0.107550941,0.293,0.006788225,0.29,0.033799704,0.33315,0.043062803,0.29855,0.004596194,0.776,0.040870772,0.75765,0.019304015,0.7663,0.011172287,0.8262,0.014849242,0.32665,0.004313351,0.29115,0.009970206,0.29125,0.011808683,0.32095,0.018455487,0.78635,0.025243712,0.7599,0.026304372,0.7805,0.038183766,0.8529,0.112854242,0.28455,0.010111627,0.2954,0.016263456,0.2954,0.034648232,0.30965,0.014778532,0.7765,0.034648232,0.7505,0.026587215,0.73215,0.016475588,0.73525,0.047164022,0.3015,0.014424978,0.2993,0.015697771,0.28635,0.007141778,0.29125,0.024536605,0.8033,0.002828427,0.77555,0.024678027,0.7151,0.020506097,1.0006,0.04483057,0.3178,0.010182338,0.2993,0.016970563,0.31135,0.010677312,0.30365,0.024395184,0.75735,0.032456201,0.7371,0.027718586,0.72015,0.026799347,0.9331,0.044123463
2.789722,0.3124,0.003535534,0.36815,0.020576807,0.357,0.002404163,0.3476,0.01767767,0.82075,0.013222897,0.79605,0.021566757,0.79935,0.036274578,0.83245,0.116319066,0.3328,0.010748023,0.33275,0.040092954,0.38255,0.049992449,0.3528,0.005656854,0.84675,0.039103005,0.8346,0.015980613,0.8412,0.014707821,0.897,0.019516147,0.3718,0.001979899,0.3394,0.012727922,0.33775,0.009545942,0.372,0.021778889,0.8584,0.022203153,0.8365,0.028425693,0.85715,0.038254477,0.92605,0.111510739,0.33395,0.010535891,0.3401,0.015273506,0.3431,0.03959798,0.3632,0.012869343,0.85385,0.033870415,0.8205,0.026587215,0.8063,0.021778889,0.80805,0.049568185,0.3481,0.014000714,0.34455,0.021425335,0.33385,0.006858936,0.34335,0.024395184,0.88355,0.004596194,0.8483,0.03026417,0.7808,0.019233304,1.082,0.042002143,0.3654,0.009192388,0.34375,0.024960869,0.3533,0.001131371,0.3494,0.031112698,0.83175,0.036981685,0.80275,0.026657926,0.78745,0.029769195,1.01175,0.043062803
