Well ID,PBT,Residual Tumor Count,Residual CI,Plated Effector,Dex(microgramsperml)
A5,PBT138 mid,15022.5,1.2356,0,0.001
B5,PBT138 mid,318.75,-0.1607,2500,0.001
C5,PBT138 mid,1117.5,-0.1206,1250,0.001
D5,PBT138 mid,5182.5,0.3023,500,0.001
E5,PBT138 high,1811.25,-0.0836,500,0.001
F5,PBT138 high,288.75,-0.1573,1250,0.001
G5,PBT138 high,303.75,-0.1831,2500,0.001
H5,PBT138 high,25721.25,2.8061,0,0.001
A6,PBT138 mid,13773.75,1.3139,0,0.001
B6,PBT138 mid,476.25,-0.1514,2500,0.001
C6,PBT138 mid,1695,-0.0825,1250,0.001
D6,PBT138 mid,5445,0.3202,500,0.001
E6,PBT138 high,1533.75,-0.1235,500,0.001
F6,PBT138 high,307.5,-0.1663,1250,0.001
G6,PBT138 high,251.25,-0.1503,2500,0.001
H6,PBT138 high,22106.25,2.8559,0,0.001
A7,PBT138 mid,12963.75,1.4789,0,0.01
B7,PBT138 mid,585,-0.1408,2500,0.01
C7,PBT138 mid,1668.75,-0.0745,1250,0.01
D7,PBT138 mid,4200,0.5857,500,0.01
E7,PBT138 high,3041.25,0.0527,500,0.01
F7,PBT138 high,412.5,-0.1316,1250,0.01
G7,PBT138 high,240,-0.1462,2500,0.01
H7,PBT138 high,22192.5,3.269,0,0.01
A8,PBT138 mid,11531.25,1.2705,0,0.01
B8,PBT138 mid,735,-0.1463,2500,0.01
C8,PBT138 mid,1406.25,-0.1257,1250,0.01
D8,PBT138 mid,5238.75,0.3862,500,0.01
E8,PBT138 high,5043.75,0.3555,500,0.01
F8,PBT138 high,495,-0.1223,1250,0.01
G8,PBT138 high,172.5,-0.1197,2500,0.01
H8,PBT138 high,21420,3.2226,0,0.01
A9,PBT138 mid,15247.5,1.5569,0,0.1
B9,PBT138 mid,832.5,-0.1265,2500,0.1
C9,PBT138 mid,1571.25,-0.06,1250,0.1
D9,PBT138 mid,7166.25,0.746,500,0.1
E9,PBT138 high,6802.5,0.9717,500,0.1
F9,PBT138 high,521.25,-0.1266,1250,0.1
G9,PBT138 high,243.75,-0.1514,2500,0.1
H9,PBT138 high,21960,3.2188,0,0.1
A10,PBT138 mid,13087.5,1.3867,0,0.1
B10,PBT138 mid,712.5,-0.1088,2500,0.1
C10,PBT138 mid,2703.75,0.0583,1250,0.1
D10,PBT138 mid,5572.5,0.5018,500,0.1
E10,PBT138 high,7492.5,1.069,500,0.1
F10,PBT138 high,648.75,-0.1229,1250,0.1
G10,PBT138 high,345,-0.1633,2500,0.1
H10,PBT138 high,21071.25,3.3209,0,0.1
A11,PBT138 mid,12892.5,1.6075,0,1
B11,PBT138 mid,903.75,-0.0875,2500,1
C11,PBT138 mid,3937.5,0.1857,1250,1
D11,PBT138 mid,6086.25,0.5234,500,1
E11,PBT138 high,6378.75,0.7351,500,1
F11,PBT138 high,1151.25,-0.0805,1250,1
G11,PBT138 high,468.75,-0.1108,2500,1
H11,PBT138 high,21495,3.1621,0,1
A12,PBT138 mid,11876.25,1.2298,0,1
B12,PBT138 mid,1293.75,-0.0952,2500,1
C12,PBT138 mid,3446.25,0.045,1250,1
D12,PBT138 mid,6768.75,0.3694,500,1
E12,PBT138 high,8992.5,1.4963,500,1
F12,PBT138 high,776.25,-0.1239,1250,1
G12,PBT138 high,255,-0.1425,2500,1
H12,PBT138 high,21525,2.9924,2500,1
